"日期","最新","开盘","高","低","交易量","百分比变化"
"2015年2月6日","10,791.10","11,022.49","11,054.94","10,715.43","24.13K","-2.48"
"2015年2月5日","11,065.58","11,367.14","11,386.73","11,065.58","29.50K","-0.46"
"2015年2月4日","11,116.55","11,241.98","11,364.38","11,111.53","23.64K","-0.83"
"2015年2月3日","11,209.19","11,077.48","11,216.68","10,993.55","23.58K","2.24"
"2015年2月2日","10,963.14","10,952.14","11,140.97","10,921.44","23.04K","-1.68"
"2015年1月30日","11,150.69","11,290.45","11,354.09","11,132.80","24.02K","-0.87"
"2015年1月29日","11,249.04","11,187.30","11,319.47","11,161.43","25.13K","-0.93"
"2015年1月28日","11,354.20","11,484.99","11,530.09","11,309.21","24.96K","-1.71"
"2015年1月27日","11,551.87","11,670.24","11,705.91","11,368.99","38.01K","-1.16"
"2015年1月26日","11,686.97","11,564.22","11,711.89","11,512.01","36.44K","2.19"
"2015年1月23日","11,436.29","11,507.44","11,554.52","11,379.96","25.59K","-0.30"
"2015年1月22日","11,471.21","11,358.44","11,499.44","11,342.08","25.79K","0.87"
"2015年1月21日","11,372.18","11,051.95","11,395.10","11,000.74","33.81K","3.42"
"2015年1月20日","10,996.48","10,761.28","11,026.05","10,750.85","31.29K","2.09"
"2015年1月19日","10,770.93","10,939.04","11,204.49","10,634.62","36.35K","-6.61"
"2015年1月16日","11,532.80","11,496.76","11,583.73","11,436.28","24.29K","0.43"
"2015年1月15日","11,483.68","11,240.84","11,483.75","11,161.52","22.51K","2.19"
"2015年1月14日","11,237.78","11,366.95","11,429.31","11,153.17","20.72K","-1.04"
"2015年1月13日","11,355.81","11,250.88","11,418.45","11,244.42","21.72K","0.63"
"2015年1月12日","11,285.18","11,279.73","11,376.09","11,116.06","29.88K","-0.35"
"2015年1月9日","11,324.76","11,424.53","11,738.25","11,313.25","35.28K","-1.22"
"2015年1月8日","11,465.14","11,624.59","11,656.70","11,371.92","32.00K","-1.28"
"2015年1月7日","11,613.36","11,612.73","11,714.78","11,505.03","32.99K","-0.47"
"2015年1月6日","11,667.97","11,424.92","11,749.14","11,374.50","45.43K","1.28"
"2015年1月5日","11,520.59","11,150.98","11,587.28","11,150.98","51.63K","4.59"
"2014年12月31日","11,014.62","10,723.09","11,037.61","10,711.33","33.26K","2.73"
"2014年12月30日","10,722.26","10,756.58","10,866.36","10,660.20","34.33K","-0.54"
"2014年12月29日","10,780.40","10,918.96","10,965.29","10,665.26","47.60K","-0.21"
"2014年12月26日","10,802.64","10,505.71","10,816.83","10,487.91","40.63K","2.94"
"2014年12月25日","10,493.78","10,350.94","10,514.64","10,296.00","32.26K","1.96"
"2014年12月24日","10,292.52","10,614.12","10,627.08","10,179.26","34.93K","-2.63"
"2014年12月23日","10,570.79","10,549.98","10,794.19","10,490.14","41.34K","-0.36"
"2014年12月22日","10,608.51","10,607.58","10,742.37","10,474.92","51.97K","-0.18"
"2014年12月19日","10,627.11","10,646.66","10,684.60","10,382.29","43.55K","-0.36"
"2014年12月18日","10,665.18","10,744.27","10,812.15","10,656.35","38.14K","-1.13"
"2014年12月17日","10,786.72","10,728.74","10,788.97","10,533.11","49.10K","1.11"
"2014年12月16日","10,668.62","10,486.69","10,668.62","10,429.56","40.82K","1.56"
"2014年12月15日","10,504.23","10,477.45","10,531.66","10,298.38","33.73K","0.40"
"2014年12月12日","10,462.31","10,451.61","10,622.88","10,390.02","32.27K","-0.16"
"2014年12月11日","10,478.88","10,443.66","10,725.77","10,387.59","43.77K","-0.63"
"2014年12月10日","10,545.51","10,154.53","10,567.45","10,048.46","51.46K","4.24"
"2014年12月9日","10,116.49","10,496.63","11,050.85","10,042.01","77.17K","-4.15"
"2014年12月8日","10,554.57","10,047.12","10,587.62","9,919.65","59.27K","4.84"
"2014年12月5日","10,067.28","10,164.37","10,319.87","9,749.14","63.50K","0.37"
"2014年12月4日","10,029.83","9,679.59","10,040.72","9,659.95","50.17K","4.00"
"2014年12月3日","9,643.92","9,448.37","9,777.76","9,441.83","60.48K","2.96"
"2014年12月2日","9,366.95","9,058.32","9,433.64","9,027.30","41.32K","2.98"
"2014年12月1日","9,095.76","9,029.64","9,180.64","9,028.83","45.71K","1.04"
"2014年11月28日","9,002.23","8,837.47","9,010.17","8,767.12","43.62K","1.60"
