"日期","最新","开盘","高","低","交易量","百分比变化"
"2004年11月17日","1,571.12","1,561.80","1,580.26","1,561.80","0","1.46"
"2004年11月16日","1,548.53","1,554.79","1,554.79","1,541.84","0","-0.80"
"2004年11月15日","1,560.96","1,554.31","1,562.04","1,550.03","0","0.16"
"2004年11月12日","1,558.41","1,543.31","1,558.41","1,535.82","0","1.08"
"2004年11月11日","1,541.70","1,524.62","1,542.39","1,522.48","0","1.62"
"2004年11月10日","1,517.06","1,524.10","1,530.01","1,514.32","0","-0.65"
"2004年11月9日","1,527.00","1,527.25","1,534.37","1,521.15","0","-0.01"
"2004年11月8日","1,527.13","1,525.13","1,532.46","1,522.12","0","0.12"
"2004年11月5日","1,525.24","1,526.71","1,534.84","1,512.74","0","0.60"
"2004年11月4日","1,516.20","1,498.06","1,519.21","1,492.23","0","0.82"
"2004年11月3日","1,503.89","1,519.97","1,523.51","1,494.85","0","0.61"
"2004年11月2日","1,494.83","1,490.32","1,509.56","1,489.33","0","0.41"
"2004年11月1日","1,488.79","1,486.25","1,494.88","1,479.86","0","0.14"
"2004年10月29日","1,486.72","1,485.68","1,496.98","1,475.56","0","-0.03"
"2004年10月28日","1,487.12","1,473.41","1,491.86","1,471.03","0","0.48"
"2004年10月27日","1,480.03","1,441.79","1,483.13","1,437.44","0","2.63"
"2004年10月26日","1,442.14","1,432.25","1,442.14","1,423.98","0","0.67"
"2004年10月25日","1,432.57","1,435.68","1,439.48","1,427.44","0","-0.39"
"2004年10月22日","1,438.25","1,472.92","1,473.69","1,438.13","0","-2.48"
"2004年10月21日","1,474.79","1,459.68","1,478.46","1,452.57","0","1.55"
"2004年10月20日","1,452.26","1,441.21","1,456.19","1,433.88","0","0.59"
"2004年10月19日","1,443.80","1,463.01","1,470.14","1,443.40","0","-0.93"
"2004年10月18日","1,457.31","1,428.08","1,457.31","1,424.82","0","1.84"
"2004年10月15日","1,430.98","1,430.31","1,441.82","1,419.36","0","0.40"
"2004年10月14日","1,425.21","1,434.92","1,437.66","1,421.59","0","-0.64"
"2004年10月13日","1,434.46","1,451.73","1,453.72","1,425.41","0","-0.04"
"2004年10月12日","1,435.00","1,424.22","1,439.07","1,416.29","0","-0.19"
"2004年10月11日","1,437.73","1,435.54","1,441.10","1,431.77","0","0.47"
"2004年10月8日","1,430.96","1,449.49","1,457.04","1,428.11","0","-1.70"
"2004年10月7日","1,455.77","1,469.70","1,474.70","1,454.89","0","-1.26"
"2004年10月6日","1,474.36","1,460.19","1,474.36","1,452.61","0","0.86"
"2004年10月5日","1,461.76","1,456.19","1,467.23","1,454.23","0","0.19"
"2004年10月4日","1,459.01","1,463.22","1,472.21","1,458.08","0","0.42"
"2004年10月1日","1,452.94","1,426.38","1,452.94","1,423.43","0","2.85"
"2004年9月30日","1,412.74","1,409.23","1,417.99","1,403.89","0","0.13"
"2004年9月29日","1,410.86","1,389.69","1,411.82","1,389.62","0","1.52"
"2004年9月28日","1,389.70","1,390.11","1,394.43","1,376.99","0","0.30"
"2004年9月27日","1,385.55","1,389.94","1,396.42","1,383.24","0","-0.96"
"2004年9月24日","1,399.05","1,407.71","1,414.56","1,397.50","0","-0.48"
"2004年9月23日","1,405.77","1,405.76","1,413.68","1,402.79","0","0.11"
"2004年9月22日","1,404.22","1,424.72","1,424.72","1,403.16","0","-2.21"
"2004年9月21日","1,435.91","1,429.85","1,440.81","1,425.16","0","0.79"
