"日期","最新","开盘","高","低","交易量","百分比变化"
"2002年9月5日","883.25","890.00","891.00","869.25","644.46K","-0.73"
"2002年9月4日","889.75","877.25","896.75","875.00","613.56K","1.37"
"2002年9月3日","877.75","913.25","913.25","876.00","504.63K","-4.18"
"2002年8月30日","916.00","915.50","928.75","909.00","286.23K","0.00"
"2002年8月29日","916.00","916.50","925.25","902.50","476.15K","-0.05"
"2002年8月28日","916.50","936.75","937.00","913.00","469.85K","-2.14"
"2002年8月27日","936.50","947.25","956.50","929.75","510.03K","-1.16"
"2002年8月26日","947.50","940.25","951.50","929.75","458.92K","0.69"
"2002年8月23日","941.00","961.00","962.25","936.50","344.36K","-2.08"
"2002年8月22日","961.00","951.25","966.00","946.00","440.71K","0.92"
"2002年8月21日","952.25","939.75","953.00","931.00","526.01K","1.33"
"2002年8月20日","939.75","948.25","949.50","931.50","473.77K","-0.97"
"2002年8月19日","949.00","928.25","952.50","921.50","427.14K","2.26"
"2002年8月16日","928.00","929.75","936.00","915.00","430.17K","-0.27"
"2002年8月15日","930.50","918.75","935.75","915.75","591.57K","1.36"
"2002年8月14日","918.00","884.25","921.25","875.75","703.55K","3.70"
"2002年8月13日","885.25","902.50","912.25","882.00","576.91K","-1.91"
"2002年8月12日","902.50","906.50","908.25","891.25","406.95K","-0.58"
"2002年8月9日","907.75","904.75","914.75","889.75","494.10K","0.22"
"2002年8月8日","905.75","876.50","906.75","873.75","618.68K","3.40"
"2002年8月7日","876.00","859.50","880.50","853.50","637.13K","1.74"
"2002年8月6日","861.00","833.25","875.00","828.50","585.77K","3.24"
"2002年8月5日","834.00","865.00","867.75","831.50","553.38K","-3.58"
"2002年8月2日","865.00","883.50","885.50","852.50","534.54K","-2.15"
"2002年8月1日","884.00","909.25","911.50","879.00","652.04K","-3.02"
"2002年7月31日","911.50","904.50","916.00","888.75","570.16K","0.66"
"2002年7月30日","905.50","894.25","910.25","883.50","697.45K","1.31"
"2002年7月29日","893.75","855.00","900.00","852.50","532.26K","4.69"
"2002年7月26日","853.75","837.25","855.75","824.75","544.18K","2.03"
"2002年7月25日","836.75","844.75","854.75","812.50","881.27K","-0.86"
"2002年7月24日","844.00","795.25","847.50","771.00","975.95K","5.93"
"2002年7月23日","796.75","820.50","836.25","794.25","877.94K","-2.81"
"2002年7月22日","819.75","842.75","856.25","810.75","925.74K","-2.87"
"2002年7月19日","844.00","874.50","879.00","839.75","658.10K","-3.60"
"2002年7月18日","875.50","906.50","918.75","874.25","608.18K","-3.26"
"2002年7月17日","905.00","901.00","929.75","891.50","698.81K","0.19"
"2002年7月16日","903.25","920.50","924.00","894.75","812.92K","-1.87"
"2002年7月15日","920.50","916.75","921.75","875.75","806.72K","0.35"
"2002年7月12日","917.25","928.00","938.00","912.75","520.60K","-1.05"
"2002年7月11日","927.00","919.75","930.50","900.50","791.12K","0.87"
"2002年7月10日","919.00","954.50","961.50","917.75","716.07K","-3.67"
"2002年7月9日","954.00","978.25","981.75","951.50","524.56K","-2.48"
"2002年7月8日","978.25","990.50","995.75","973.25","504.37K","-1.29"
"2002年7月5日","991.00","953.25","993.00","950.25","203.36K","3.96"
"2002年7月3日","953.25","948.25","955.50","934.75","417.78K","0.61"
"2002年7月2日","947.50","969.75","974.25","945.50","587.77K","-2.27"
"2002年7月1日","969.50","989.00","996.25","967.00","420.86K","-2.07"
"2002年6月28日","990.00","992.25","1,003.25","986.00","366.38K","-0.20"
"2002年6月27日","992.00","975.50","993.00","964.00","616.02K","1.77"
"2002年6月26日","974.75","975.00","979.75","945.50","699.05K","0.03"
"2002年6月25日","974.50","995.75","1,007.25","973.75","527.90K","-2.26"
"2002年6月24日","997.00","992.50","1,005.50","971.00","647.19K","0.57"
"2002年6月21日","991.33","1,006.50","1,012.50","996.00","1.49K","-1.56"
"2002年6月20日","1,007.00","1,021.75","1,025.00","1,004.50","12.72K","-1.23"
"2002年6月19日","1,019.50","1,040.25","1,041.50","1,017.25","10.21K","-2.37"
"2002年6月18日","1,044.25","1,035.75","1,044.75","1,029.50","14.53K","0.85"
"2002年6月17日","1,035.50","1,010.75","1,037.75","1,003.50","10.49K","2.63"
"2002年6月14日","1,009.00","1,010.75","1,011.00","978.75","27.69K","-0.17"
"2002年6月13日","1,010.75","1,020.00","1,027.00","1,007.75","43.14K","-0.93"
"2002年6月12日","1,020.25","1,014.00","1,022.75","1,002.50","607.62K","0.59"
"2002年6月11日","1,014.25","1,031.75","1,045.00","1,012.00","445.77K","-1.72"
"2002年6月10日","1,032.00","1,029.25","1,039.25","1,025.00","319.40K","0.36"
"2002年6月7日","1,028.25","1,016.00","1,034.00","1,010.25","429.24K","-0.12"
"2002年6月6日","1,029.50","1,051.50","1,053.75","1,025.25","484.65K","-2.00"
"2002年6月5日","1,050.50","1,042.50","1,051.50","1,038.50","400.76K","0.86"
"2002年6月4日","1,041.50","1,038.75","1,047.00","1,030.75","568.36K","0.26"
"2002年6月3日","1,038.80","1,066.25","1,071.00","1,036.50","452.87K","-2.69"
"2002年5月31日","1,067.50","1,065.50","1,080.75","1,062.75","333.44K","0.16"
"2002年5月30日","1,065.75","1,068.25","1,073.00","1,054.25","395.29K","-0.19"
"2002年5月29日","1,067.75","1,076.50","1,077.50","1,066.75","309.03K","-0.81"
"2002年5月28日","1,076.50","1,083.25","1,090.00","1,070.00","358.64K","-0.55"
"2002年5月24日","1,082.50","1,097.50","1,101.00","1,082.00","248.71K","-1.32"
"2002年5月23日","1,097.00","1,084.50","1,099.25","1,080.50","349.49K","1.11"
"2002年5月22日","1,085.00","1,083.00","1,086.75","1,075.50","336.00K","0.18"
"2002年5月21日","1,083.00","1,093.25","1,100.75","1,079.25","346.44K","-0.96"
"2002年5月20日","1,093.50","1,104.75","1,106.50","1,090.75","264.98K","-1.06"
"2002年5月17日","1,105.25","1,099.50","1,109.00","1,097.00","296.59K","0.57"
"2002年5月16日","1,099.00","1,093.50","1,100.75","1,089.25","349.98K","0.41"
"2002年5月15日","1,094.50","1,098.75","1,105.25","1,089.00","433.31K","-0.36"
"2002年5月14日","1,098.50","1,075.50","1,099.75","1,074.25","365.50K","2.14"
"2002年5月13日","1,075.50","1,054.00","1,076.00","1,053.50","353.66K","2.04"
"2002年5月10日","1,054.00","1,074.00","1,079.50","1,052.50","350.01K","-1.86"
"2002年5月9日","1,074.00","1,085.50","1,090.00","1,072.25","334.53K","-1.15"
"2002年5月8日","1,086.50","1,051.75","1,090.00","1,051.25","420.08K","3.72"
"2002年5月7日","1,047.50","1,051.75","1,059.75","1,045.75","355.30K","-0.40"
"2002年5月6日","1,051.75","1,073.75","1,076.50","1,050.00","357.64K","-1.98"
"2002年5月3日","1,073.00","1,085.00","1,088.00","1,068.75","312.25K","-1.06"
"2002年5月2日","1,084.50","1,088.25","1,092.25","1,079.25","310.76K","-0.37"
"2002年5月1日","1,088.50","1,076.75","1,089.25","1,064.75","379.54K","1.04"
"2002年4月30日","1,077.25","1,065.50","1,083.25","1,063.50","323.15K","1.15"
"2002年4月29日","1,065.00","1,072.25","1,079.75","1,063.50","325.83K","-0.65"
"2002年4月26日","1,072.00","1,093.00","1,097.75","1,070.25","359.82K","-1.88"
"2002年4月25日","1,092.50","1,092.75","1,095.00","1,083.50","371.96K","0.07"
"2002年4月24日","1,091.75","1,102.75","1,109.75","1,091.50","345.43K","-1.04"
"2002年4月23日","1,103.25","1,109.25","1,113.75","1,099.25","355.38K","-0.45"
"2002年4月22日","1,108.25","1,127.50","1,128.00","1,106.00","274.23K","-1.64"
"2002年4月19日","1,126.75","1,119.00","1,130.75","1,116.50","210.31K","0.33"
"2002年4月18日","1,123.00","1,127.25","1,132.75","1,108.50","359.02K","-0.44"
"2002年4月17日","1,128.00","1,131.50","1,135.75","1,123.75","281.48K","-0.15"
"2002年4月16日","1,129.75","1,104.00","1,131.00","1,104.00","298.11K","2.31"
"2002年4月15日","1,104.25","1,112.50","1,116.75","1,100.00","348.58K","-0.70"
"2002年4月12日","1,112.00","1,103.50","1,114.50","1,103.50","350.24K","0.72"
"2002年4月11日","1,104.00","1,132.00","1,133.00","1,103.00","435.03K","-2.47"
"2002年4月10日","1,132.00","1,120.50","1,133.50","1,119.00","417.34K","1.03"
"2002年4月9日","1,120.50","1,129.25","1,131.50","1,117.75","333.30K","-0.62"
"2002年4月8日","1,127.50","1,126.00","1,128.75","1,110.00","354.12K","0.18"
"2002年4月5日","1,125.50","1,127.25","1,135.00","1,120.50","290.78K","-0.02"
"2002年4月4日","1,125.75","1,129.75","1,132.75","1,121.00","335.58K","-0.40"
"2002年4月3日","1,130.25","1,137.50","1,141.25","1,120.75","297.82K","-0.68"
"2002年4月2日","1,138.00","1,145.00","1,145.00","1,137.00","270.86K","-0.57"
"2002年4月1日","1,144.50","1,145.25","1,150.00","1,134.25","226.00K","-0.41"
"2002年3月28日","1,149.25","1,144.50","1,156.75","1,143.25","190.23K","0.37"
"2002年3月27日","1,145.00","1,142.00","1,149.25","1,136.75","265.96K","0.26"
"2002年3月26日","1,142.00","1,135.50","1,149.50","1,134.00","289.50K","0.55"
"2002年3月25日","1,135.75","1,149.00","1,153.25","1,133.00","255.03K","-1.20"
"2002年3月22日","1,149.50","1,153.00","1,159.00","1,146.75","231.49K","-0.28"
"2002年3月21日","1,152.75","1,152.25","1,158.50","1,141.25","290.50K","0.04"
"2002年3月20日","1,152.25","1,174.25","1,175.25","1,151.75","302.17K","-1.87"
"2002年3月19日","1,174.25","1,167.00","1,177.50","1,166.75","261.00K","0.60"
"2002年3月18日","1,167.25","1,166.00","1,175.75","1,161.00","274.85K","0.75"
"2002年3月15日","1,158.60","1,154.25","1,159.00","1,152.50","0.73K","0.49"
"2002年3月14日","1,153.00","1,151.50","1,158.25","1,147.25","4.05K","-0.13"
"2002年3月13日","1,154.50","1,166.00","1,170.75","1,150.50","3.77K","-1.05"
"2002年3月12日","1,166.75","1,165.25","1,167.25","1,153.75","7.07K","0.04"
"2002年3月11日","1,166.25","1,164.00","1,173.50","1,158.75","6.53K","0.21"
